ConfigurationTriggerTime,configurationId,Crawled_Date,Ecommerce,Pincode,City,Country_Of_Origin,Navision_Code,SKU_Name,Brand_Name,Product_Name,MRP,Discount_Percentage,Discount_Amount,Price,Speciality,Rating_Count,Avg_Rating,Review_Count,Stock,Seller,Coupon,Offer,Weight,Unit_Of_Weight,Delivery,Recommend_Percentage,Key_Features,Super_Offer,Super_Saver,Available_Product_Count,Max_Allowed_Quantity,Other_Id,Other_Quantity,Service_Status
,,12/08/2025 02:35:04,amazon,110058,,,,Veg Mayo Delite 750gm,Dr.Oetker,"Dr. Oetker FunFoods Veg Mayonnaise De'lite 750g | Low Calorie Eggless Mayo | Creamy &amp; Light Tasting | No Cholesterol or Trans Fat | Ideal for Sandwiches, Burgers, Wraps, Salads &amp; Dips",177,27,,130,                                                    Trans Fat Free ,-1825,4.3,,Instock,,,,750,Gram,,,,,,,,,,serviced
,,12/08/2025 02:35:12,amazon,110058,,,,Veg Mayo Original 800gm,Dr.Oetker,"Dr. Oetker FunFoods Veg Mayonnaise Original, 800g Pouch | 100% Vegetarian | No Cholesterol or Trans Fat | Rich &amp; Creamy Eggless Mayo Spread for Sandwiches, Wraps, Burgers &amp; Salads",187,11,,167,"                                                    Gluten Free, Natural, Vegetarian ",-2195,4.4,,Instock,,,,800,Gram,,,,,,,,,,serviced
,,12/08/2025 02:35:17,amazon,110058,,,,Veg Original 250gm,Dr.Oetker,"Dr. Oetker FunFoods Veg Mayonnaise Original, 250g | 100% Vegetarian | No Cholesterol or Trans Fat | Rich &amp; Creamy Eggless Mayo Spread for Sandwiches, Wraps, Burgers &amp; Salads",93,,,93,                                                    Vegetarian ,-894,4.4,,Instock,,,,250,Gram,,,,,,,,,,serviced
,,12/08/2025 02:35:23,amazon,110058,,,,Pasta Pizza Red Sauce 315gm,Dr.Oetker,"Dr. Oetker FunFoods Pasta &amp; Pizza Red Sauce, 315g | Ready to Use for Saucy Pastas &amp; Lip-Smacking Pizzas | Tangy &amp; Herby | Ideal for Pasta, Pizza &amp; Italian Recipes",,,,,                                                    Vegetarian ,-5787,4.3,,Out of Stock,,,,315,Gram,,,,,,,,,,serviced
,,12/08/2025 02:35:30,amazon,110058,,,,Pizza Topping 315gm,Dr.Oetker,"Dr. Oetker FunFoods Pizza Topping Sauce All-in-One, 315g | Rich Tomato &amp; Herb Sauce | Ideal for all types of Homemade Pizza",93,,,93,,-1227,4.3,,Instock,,,,315,Gram,,,,,,,,,,serviced
,,12/08/2025 02:35:36,amazon,110058,,,,Pasta Pizza Red Sauce 800gm,Dr.Oetker,"Dr. Oetker FunFoods Pasta &amp; Pizza Red Sauce, 750g/800g Pouch | Ready to Use for Saucy Pastas &amp; Lip-Smacking Pizzas | Tangy &amp; Herby | Ideal for Pasta, Pizza &amp; Italian Recipes",187,19,,152,                                                    No Artificial Colours ,-5787,4.3,,Instock,,,,800,Gram,,,,,,,,,,serviced
,,12/08/2025 02:35:42,amazon,110058,,,,Peanut Butter Crunchy 750gm,Dr.Oetker,"Dr. Oetker FunFoods Peanut Butter Crunchy,750G|91% Roasted Peanuts|25% Protein per 100G|Source Of Vitamin E,B3 &amp; B6|Nutty &amp; Sweetened Nut Butter|Plant-Based Protein Spread",187,10,,169,                                                    Vegan ,-818,4.3,,Instock,,,,750,Gram,,,,,,,,,,serviced
,,12/08/2025 02:35:49,amazon,110058,,,,Peanut Butter Creamy 750gm,Dr.Oetker,"Dr. Oetker FunFoods Peanut Butter Creamy,750 G|91% Roasted Peanuts|26% Protein Per 100 G|Source Of Vitamin E,B3 &amp; B6|Smooth &amp; Sweetened Nut Butter|Plant-Based Protein Spread",187,24,,142,                                                    Vegan ,-286,4.3,,Instock,,,,750,Gram,,,,,,,,,,serviced
,,12/08/2025 02:35:57,amazon,110058,,,,Peanut Butter Crunchy 375gm,Dr.Oetker,"Dr. Oetker FunFoods Peanut Butter Crunchy, 375g | 91% Roasted Peanuts | 25% Protein per 100g| Source of Vitamin E, B3 &amp; B6 | Nutty &amp; Sweetened Nut Butter | Plant-Based Protein Spread | No Palm Oil, Gluten or Cholesterol | Ideal for Breakfast, Snacks &amp; Fitness.",129,,,129,                                                    Preservative Free ,-3835,4.2,,Instock,,,,375,Gram,,,,,,,,,,serviced
,,12/08/2025 02:36:03,amazon,110058,,,,Peanut Butter Creamy 375gm,Dr.Oetker,"Dr. Oetker FunFoods Peanut Butter Creamy, 375g | 91% Roasted Peanuts | 26% Protein per 100g| Source of Vitamin E, B3 &amp; B6 | Smooth &amp; Sweetened Nut Butter | Plant-Based Protein Spread | No Palm Oil, Gluten or Cholesterol | Ideal for Breakfast, Snacks &amp; Fitness.",129,10,,116,"                                                    No Cholesterol, No Trans Fat ",-286,4.2,,Instock,,,,375,Gram,,,,,,,,,,serviced
,,12/08/2025 02:36:09,amazon,110058,,,,Eggless Veg Mayonnaise 875gm,Veeba,Veeba Eggless Mayonnaise (875g),210,36,,135,                                                    No Artificial Flavours ,-3775,4.3,,Instock,,,,875,Gram,,,,,,,,,,serviced
,,12/08/2025 02:36:17,amazon,110058,,,,Original Premium Veg Mayo 800gm,Wingreens,"Wingreens Farms Premium Veg Mayo, 800g",234,46,,127,                                                    Vegetarian ,-5369,4.3,,Instock,,,,800,Gram,,,,,,,,,,serviced
,,12/08/2025 02:36:23,amazon,110058,,,,Real Mayo 800gm,Hellmann's,Hellmann's Veg Mayonnaise|| 100% Vegetarian Creamy Mayo Used For Dressings And Condiments|| 800 g,190,11,,169,                                                    Vegetarian ,-7936,4.4,,Instock,,,,800,Gram,,,,,,,,,,serviced
,,12/08/2025 02:36:31,amazon,110058,,,,Eggless Mayo 850gm,Del Monte,"Del Monte Eggless Mayonnaise, 900g",186,29,,132,                                                    no preservatives ,-13441,4.3,,Instock,,,,850,Gram,,,,,,,,,,serviced
,,12/08/2025 02:36:37,amazon,110058,,,,Chef Special Veg mayonnaise Smart 750gm,Veeba,Veeba Chef's Special Veg Mayonnaise Smart (750g),210,38,,130,"                                                    Gluten Free, No Artificial Colours, No Artificial Flavours, Vegan, Vegetarian ",-605,4,,Instock,,,,750,Gram,,,,,,,,,,serviced
,,12/08/2025 02:36:45,amazon,110058,,,,Eggless Veg Mayonnaise 700gm,Veeba,"Veeba Eggless Mayonnaise (700 Grams) I Veg Mayonnaise I 100% Vegetarian Mayo I Extra Creamy and Delicious I Rich and Thick Texture I Dip, Spread and Dunk( Image May Vary )",220,23,,169,                                                    Vegetarian ,-3517,4.3,,Instock,,,,700,Gram,,,,,,,,,,serviced
,,12/08/2025 02:46:07,amazon,201010,,,,Veg Mayo Original 800gm,Dr.Oetker,"Dr. Oetker FunFoods Veg Mayonnaise Original, 800g Pouch | 100% Vegetarian | No Cholesterol or Trans Fat | Rich &amp; Creamy Eggless Mayo Spread for Sandwiches, Wraps, Burgers &amp; Salads",187,11,,167,,-2195,4.4,,Instock,,,,800,Gram,,,,,,,,,,serviced
,,12/08/2025 02:46:12,amazon,201010,,,,Veg Original 250gm,Dr.Oetker,"Dr. Oetker FunFoods Veg Mayonnaise Original, 250g | 100% Vegetarian | No Cholesterol or Trans Fat | Rich &amp; Creamy Eggless Mayo Spread for Sandwiches, Wraps, Burgers &amp; Salads",93,,,93,                                                    Vegetarian ,-894,4.4,,Instock,,,,250,Gram,,,,,,,,,,serviced
,,12/08/2025 02:46:20,amazon,201010,,,,Pizza Topping 315gm,Dr.Oetker,"Dr. Oetker FunFoods Pizza Topping Sauce All-in-One, 315g | Rich Tomato &amp; Herb Sauce | Ideal for all types of Homemade Pizza",93,,,93,,-1227,4.3,,Instock,,,,315,Gram,,,,,,,,,,serviced
,,12/08/2025 02:46:27,amazon,201010,,,,Peanut Butter Crunchy 750gm,Dr.Oetker,"Dr. Oetker FunFoods Peanut Butter Crunchy,750G|91% Roasted Peanuts|25% Protein per 100G|Source Of Vitamin E,B3 &amp; B6|Nutty &amp; Sweetened Nut Butter|Plant-Based Protein Spread",199,15,,169,,-818,4.3,,Instock,,,,750,Gram,,,,,,,,,,serviced
,,12/08/2025 02:48:52,amazon,201301,,,,Veg Mayo Original 800gm,Dr.Oetker,"Dr. Oetker FunFoods Veg Mayonnaise Original, 800g Pouch | 100% Vegetarian | No Cholesterol or Trans Fat | Rich &amp; Creamy Eggless Mayo Spread for Sandwiches, Wraps, Burgers &amp; Salads",187,11,,167,"                                                    Gluten Free, Natural, Vegetarian ",-2195,4.4,,Instock,,,,800,Gram,,,,,,,,,,serviced
,,12/08/2025 02:48:57,amazon,201301,,,,Veg Original 250gm,Dr.Oetker,"Dr. Oetker FunFoods Veg Mayonnaise Original, 250g | 100% Vegetarian | No Cholesterol or Trans Fat | Rich &amp; Creamy Eggless Mayo Spread for Sandwiches, Wraps, Burgers &amp; Salads",93,,,93,                                                    Vegetarian ,-894,4.4,,Instock,,,,250,Gram,,,,,,,,,,serviced
,,12/08/2025 02:49:04,amazon,201301,,,,Pasta Pizza Red Sauce 315gm,Dr.Oetker,"Dr. Oetker FunFoods Pasta &amp; Pizza Red Sauce, 315g | Ready to Use for Saucy Pastas &amp; Lip-Smacking Pizzas | Tangy &amp; Herby | Ideal for Pasta, Pizza &amp; Italian Recipes",99,6,,93,                                                    Vegetarian ,-5787,4.3,,Instock,,,,315,Gram,,,,,,,,,,serviced
,,12/08/2025 02:49:10,amazon,201301,,,,Pizza Topping 315gm,Dr.Oetker,"Dr. Oetker FunFoods Pizza Topping Sauce All-in-One, 315g | Rich Tomato &amp; Herb Sauce | Ideal for all types of Homemade Pizza",93,,,93,,-1227,4.3,,Instock,,,,315,Gram,,,,,,,,,,serviced
