ConfigurationTriggerTime,configurationId,Crawled_Date,Ecommerce,Pincode,City,Country_Of_Origin,Navision_Code,SKU_Name,Brand_Name,Product_Name,MRP,Discount_Percentage,Discount_Amount,Price,Speciality,Rating_Count,Avg_Rating,Review_Count,Stock,Seller,Coupon,Offer,Weight,Unit_Of_Weight,Delivery,Recommend_Percentage,Key_Features,Super_Offer,Super_Saver,Available_Product_Count,Max_Allowed_Quantity,Other_Id,Other_Quantity,Service_Status
,,12/18/2025 02:08:33,Flipkart,560064,,,,Original Premium Veg Mayo 800gm,Wingreens,WINGREENS Premium Veg Mayo,,,,,,450,4.1,52,Out of Stock,,,,800,Gram,,,,,,,,,,serviced
,,12/18/2025 02:08:49,Flipkart,560075,,,,Peanut Butter Crunchy 375gm,Dr.Oetker,Dr.Oetker Peanut Butter Crunchy,,,,,,63,4.4,1,Out of Stock,,,,375,Gram,,,,,,,,,,serviced
,,12/18/2025 02:09:04,Flipkart,560075,,,,Veg Original 250gm,Dr.Oetker,FUNFOODS by Dr. Oetker Veg Mayonnaise Original,99,13,,86,,1310,4.3,122,Out of Stock,SuperComNet,,,250,Gram,,,,,,,,,,serviced
,,12/18/2025 02:09:19,Flipkart,560075,,,,Peanut Butter Crunchy 750gm,Dr.Oetker,FUNFOODS by Dr. Oetker Peanut Butter Crunchy,,,,,,689,4.3,59,Out of Stock,,,,750,Gram,,,,,,,,,,serviced
,,12/18/2025 02:09:36,Flipkart,560075,,,,Pasta Pizza Red Sauce 315gm,Dr.Oetker,FUNFOODS by Dr. Oetker Pasta & Pizza Red Sauce Preservative Free Sauce,99,16,,83,,259,4.3,17,Out of Stock,SuperComNet,,,315,Gram,,,,,,,,,,serviced
,,12/18/2025 02:09:59,Flipkart,560075,,,,Pasta Pizza Red Sauce 800gm,Dr.Oetker,FUNFOODS by Dr. Oetker Pasta & Pizza Sauce,,,,,,0,,0,Out of Stock,,,,800,Gram,,,,,,,,,,serviced
,,12/18/2025 02:10:24,Flipkart,560075,,,,Peanut Butter Creamy 750gm,Dr.Oetker,FUNFOODS by Dr. Oetker Peanut Butter Creamy,,,,,,311,4.2,30,Out of Stock,,,,750,Gram,,,,,,,,,,serviced
,,12/18/2025 02:10:39,Flipkart,560075,,,,Peanut Butter Creamy 375gm,Dr.Oetker,Dr.Oetker Peanut Butter Creamy,,,,,,35,4.2,2,Out of Stock,,,,375,Gram,,,,,,,,,,serviced
,,12/18/2025 02:10:54,Flipkart,560076,,,,Pizza Topping 315gm,Dr.Oetker,FUNFOODS by Dr. Oetker Pizza Topping All-in-One Preservative Free Ketchup,,,,,,100,4.3,2,Out of Stock,,,,315,Gram,,,,,,,,,,serviced
,,12/18/2025 02:11:08,Flipkart,560075,,,,Eggless Veg Mayonnaise 700gm,Veeba,VEEBA EGGLESS Mayonnaise Chef's Special (700G) Sauce,,,,,,0,,0,Out of Stock,,,,700,Gram,,,,,,,,,,serviced
