ConfigurationTriggerTime,configurationId,Crawled_Date,Ecommerce,Pincode,City,Country_Of_Origin,Navision_Code,SKU_Name,Brand_Name,Product_Name,MRP,Discount_Percentage,Discount_Amount,Price,Speciality,Rating_Count,Avg_Rating,Review_Count,Stock,Seller,Coupon,Offer,Weight,Unit_Of_Weight,Delivery,Recommend_Percentage,Key_Features,Super_Offer,Super_Saver,Available_Product_Count,Max_Allowed_Quantity,Other_Id,Other_Quantity,Service_Status
,,12/18/2025 00:31:51,zepto,110027,,,,Veg Mayo Delite 750gm,Dr.Oetker,Dr. Oetker FunFoods Veg Mayonnaise De'lite,177,31,,122,,4264,4.7,,Instock,Commodum Groceries Private Limited,,,750,Gram,,,,,,4,6,,,serviced
,,12/18/2025 00:31:55,zepto,110027,,,,Veg Mayo Original 800gm,Dr.Oetker,Dr. Oetker FunFoods Veg Mayonnaise Original,187,26,,137,,9477,4.8,,Instock,Commodum Groceries Private Limited,,,800,Gram,,,,,,6,12,,,serviced
,,12/18/2025 00:32:02,zepto,110027,,,,Veg Original 250gm,Dr.Oetker,Dr. Oetker FunFoods Veg Mayonnaise Original,93,13,,80,,15007,4.8,,Out of Stock,Commodum Groceries Private Limited,,,250,Gram,,,,,,,12,,,serviced
,,12/18/2025 00:32:07,zepto,110027,,,,Pasta Pizza Red Sauce 315gm,Dr.Oetker,Dr. Oetker FunFoods Pasta & Pizza Red Sauce,93,16,,78,,4190,4.7,,Instock,Commodum Groceries Private Limited,,,315,Gram,,,,,,3,12,,,serviced
,,12/18/2025 00:32:14,zepto,110027,,,,Pizza Topping 315gm,Dr.Oetker,Dr. Oetker FunFoods Pizza Topping All-in-One Sauce,93,16,,78,,3035,4.6,,Instock,Commodum Groceries Private Limited,,,315,Gram,,,,,,3,12,,,serviced
,,12/18/2025 00:32:17,zepto,110027,,,,Peanut Butter Crunchy 750gm,Dr.Oetker,Dr. Oetker FunFoods Crunchy Peanut Butter,187,28,,134,,8111,4.7,,Instock,Commodum Groceries Private Limited,,,750,Gram,,,,,,3,6,,,serviced
,,12/18/2025 00:32:20,zepto,110027,,,,Peanut Butter Creamy 750gm,Dr.Oetker,Dr. Oetker FunFoods Creamy Peanut Butter,187,24,,141,,3206,4.7,,Out of Stock,Commodum Groceries Private Limited,,,750,Gram,,,,,,,6,,,serviced
,,12/18/2025 00:32:21,zepto,110027,,,,Peanut Butter Crunchy 375gm,Dr.Oetker,Dr. Oetker FunFoods Crunchy Peanut Butter,129,18,,105,,3492,4.6,,Instock,Commodum Groceries Private Limited,,,375,Gram,,,,,,1,12,,,serviced
,,12/18/2025 00:32:23,zepto,110027,,,,Peanut Butter Creamy 375gm,Dr.Oetker,Dr. Oetker FunFoods Creamy Peanut Butter,139,11,,123,,1377,4.6,,Out of Stock,Commodum Groceries Private Limited,,,375,Gram,,,,,,,12,,,serviced
,,12/18/2025 00:32:24,zepto,110027,,,,Eggless Veg Mayonnaise 875gm,Veeba,Veeba Chef's Special Veg Mayonnaise,210,34,,138,,4938,4.7,,Instock,Commodum Groceries Private Limited,,,875,Gram,,,,,,5,12,,,serviced
,,12/18/2025 00:32:26,zepto,110027,,,,Original Premium Veg Mayo 800gm,Wingreens,Wingreens Farms Premium Veg Mayo,234,53,,108,,4773,4.7,,Instock,Commodum Groceries Private Limited,,,800,Gram,,,,,,4,12,,,serviced
,,12/18/2025 00:32:27,zepto,110027,,,,Real Mayo 800gm,Hellmann's,Hellmann's Veg Mayonnaise,190,25,,141,,5709,4.8,,Instock,Commodum Groceries Private Limited,,,800,Gram,,,,,,1,12,,,serviced
,,12/18/2025 00:32:29,zepto,110027,,,,Eggless Mayo 850gm,Del monte,Del Monte Eggless Mayo,186,40,,111,,2263,4.7,,Out of Stock,Commodum Groceries Private Limited,,,850,Gram,,,,,,,12,,,serviced
,,12/18/2025 00:32:30,zepto,110027,,,,Chef Special Veg mayonnaise Smart 750gm,Veeba,Veeba Chef'S Special Veg Mayonnaise Smart,210,40,,125,,4227,4.7,,Instock,Commodum Groceries Private Limited,,,750,Gram,,,,,,3,8,,,serviced
,,12/18/2025 00:33:36,zepto,110048,,,,Veg Mayo Delite 750gm,Dr.Oetker,Dr. Oetker FunFoods Veg Mayonnaise De'lite,177,31,,122,,4264,4.7,,Instock,Commodum Groceries Private Limited,,,750,Gram,,,,,,4,6,,,serviced
,,12/18/2025 00:33:41,zepto,110048,,,,Veg Mayo Original 800gm,Dr.Oetker,Dr. Oetker FunFoods Veg Mayonnaise Original,187,26,,137,,9477,4.8,,Instock,Commodum Groceries Private Limited,,,800,Gram,,,,,,6,12,,,serviced
,,12/18/2025 00:33:43,zepto,110048,,,,Veg Original 250gm,Dr.Oetker,Dr. Oetker FunFoods Veg Mayonnaise Original,93,13,,80,,15007,4.8,,Out of Stock,Commodum Groceries Private Limited,,,250,Gram,,,,,,,12,,,serviced
,,12/18/2025 00:33:46,zepto,110048,,,,Pasta Pizza Red Sauce 315gm,Dr.Oetker,Dr. Oetker FunFoods Pasta & Pizza Red Sauce,93,16,,78,,4190,4.7,,Instock,Commodum Groceries Private Limited,,,315,Gram,,,,,,3,12,,,serviced
,,12/18/2025 00:33:48,zepto,110048,,,,Pizza Topping 315gm,Dr.Oetker,Dr. Oetker FunFoods Pizza Topping All-in-One Sauce,93,16,,78,,3035,4.6,,Instock,Commodum Groceries Private Limited,,,315,Gram,,,,,,3,12,,,serviced
,,12/18/2025 00:33:50,zepto,110048,,,,Peanut Butter Crunchy 750gm,Dr.Oetker,Dr. Oetker FunFoods Crunchy Peanut Butter,187,28,,134,,8111,4.7,,Instock,Commodum Groceries Private Limited,,,750,Gram,,,,,,3,6,,,serviced
