ConfigurationTriggerTime,configurationId,Crawled_Date,Ecommerce,Pincode,City,Country_Of_Origin,Navision_Code,SKU_Name,Brand_Name,Product_Name,MRP,Discount_Percentage,Discount_Amount,Price,Speciality,Rating_Count,Avg_Rating,Review_Count,Stock,Seller,Coupon,Offer,Weight,Unit_Of_Weight,Delivery,Recommend_Percentage,Key_Features,Super_Offer,Super_Saver,Available_Product_Count,Max_Allowed_Quantity,Other_Id,Other_Quantity,Service_Status
,,12/29/2025 04:47:38,Flipkart,140603,,,,Peanut Butter Crunchy 375gm,Dr.Oetker,Dr.Oetker Peanut Butter Crunchy,139,14,,119,,63,4.4,1,Out of Stock,SuperComNet,,,375,Gram,,,,,,,,,,serviced
,,12/29/2025 04:47:54,Flipkart,140603,,,,Eggless Veg Mayonnaise 875gm,Veeba,VEEBA Chef'S Special Veg Mayonnaise Eggless,224,41,,130,,1515,4.3,139,Instock,SuperComNet,,,800,Gram,,,,,,,,,,serviced
,,12/29/2025 04:48:09,Flipkart,140603,,,,Original Premium Veg Mayo 800gm,Wingreens,WINGREENS Premium Veg Mayo,250,25,,186,,450,4.1,52,Out of Stock,SuperComNet,,,800,Gram,,,,,,,,,,serviced
,,12/29/2025 04:48:25,Flipkart,140603,,,,Chef Special Veg mayonnaise Smart 750gm,Veeba,VEEBA Veg Mayonnaise Smart Chef'S Special,210,38,,129,,290,4.2,23,Instock,SuperComNet,,,750,Gram,,,,,,,,,,serviced
,,12/29/2025 04:48:40,Flipkart,140603,,,,Peanut Butter Creamy 375gm,Dr.Oetker,Dr.Oetker Peanut Butter Creamy,,,,,,36,4.2,2,Out of Stock,,,,375,Gram,,,,,,,,,,serviced
,,12/29/2025 04:48:56,Flipkart,140603,,,,Eggless Mayo 850gm,Del monte,Del Monte Eggless Mayo,199,43,,112,,607,4.1,52,Instock,SuperComNet,,,850,Gram,,,,,,,,,,serviced
,,12/29/2025 04:49:11,Flipkart,140603,,,,Eggless Veg Mayonnaise 700gm,Veeba,VEEBA EGGLESS Mayonnaise Chef's Special (700G) Sauce,,,,,,0,,0,Out of Stock,,,,700,Gram,,,,,,,,,,serviced
,,12/29/2025 04:49:28,Flipkart,201301,,,,Eggless Veg Mayonnaise 700gm,Veeba,VEEBA EGGLESS Mayonnaise Chef's Special (700G) Sauce,,,,,,0,,0,Out of Stock,,,,700,Gram,,,,,,,,,,serviced
,,12/29/2025 04:49:46,Flipkart,201301,,,,Real Mayo 800gm,Hellmann's,Hellmann's Veg Mayonnaise,190,15,,161,,290,4.5,62,Instock,SuperComNet,,,775,Gram,,,,,,,,,,serviced
,,12/29/2025 04:50:01,Flipkart,201309,,,,Veg Mayo Original 800gm,Dr.Oetker,FUNFOODS by Dr. Oetker Veg Mayonnaise Original,219,25,,164,,1311,4.3,123,Out of Stock,METHOMecom,,,800,Gram,,,,,,,,,,serviced
